Master  Plot,LS,HQ,Crustose, Foliose, Fruticose, Squam, Bark, Non calc. rock, # Humus, PB Cyanobact., PB Absent, PB Green coccoid, PB Green trent., Sexual,#  Asexual, # EpiphyticMacrolichen No, # EpiphyticMacrolichen Yes,# Broad Lobes,# Narrow Lobes,# Pruina Pres,# Pruina Abs,# Cor Chem Absent,# Cort Chem Present
150,32,37.2,20,8,1,1,28,1,2,0,0,29,3,12,18,22,10,9,1,6,26,16,13
151,113,86.2,56,40,7,4,94,12,5,7,2,97,4,49,61,64,48,41,7,18,92,59,46
152,49,74.2,19,22,2,0,35,6,5,0,0,47,0,20,26,24,23,20,6,5,42,27,18
153,52,68.2,17,27,3,0,45,0,4,0,0,51,1,15,33,22,30,25,7,7,45,28,22
154,79,81.2,50,22,2,1,60,12,4,2,3,63,8,36,41,53,25,23,2,8,67,51,23
155,88,81.2,43,33,6,2,76,7,1,3,1,79,2,36,47,46,41,32,5,17,69,49,36
156,92,56,44,32,3,3,72,10,4,6,0,77,6,37,45,55,34,36,5,15,74,52,36
157,74,75.2,43,25,3,2,67,3,3,6,1,49,18,40,32,46,28,24,4,15,58,44,26
158,66,77.2,29,25,2,3,55,0,4,2,1,61,1,23,35,36,29,28,4,11,53,34,29
159,87,69.2,42,33,3,6,66,12,5,4,3,73,7,32,51,50,37,34,6,14,70,47,36
160,86,67.2,45,31,1,4,68,11,4,5,1,68,11,35,46,53,32,32,5,16,68,52,31
161,108,77.2,59,36,7,4,100,5,2,9,2,80,16,57,48,62,45,34,6,23,82,65,38
162,97,75,55,29,4,5,78,11,4,9,0,76,11,46,46,63,33,26,9,19,77,55,40
163,62,65,30,23,2,2,52,3,3,0,0,59,2,26,30,36,25,25,4,10,51,40,20
164,71,55.2,35,27,1,1,57,4,5,3,1,52,13,31,34,43,27,26,7,14,55,43,25
165,85,66.2,45,30,2,4,66,11,6,3,1,65,15,37,44,57,27,29,6,15,68,50,32
166,110,60.2,51,39,3,3,80,8,9,1,1,97,8,47,52,67,40,40,10,16,90,62,43
